hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
K6s,0.5726,0.55485,0.0355,0.40965,0.37829166666666597,0.36065,0.0372,0.60215,0.2874083333333332,0.27,0.03735,0.69265,0.23738333333333309,0.22195,0.03395,0.7441,0.2021833333333335,0.18685,0.0337,0.77945
44,0.571825,0.56345,0.01675,0.4198,0.3637749999999995,0.35985,0.01065,0.6295,0.2633625,0.26075,0.0074,0.73185,0.20580666666666633,0.203,0.00795,0.78905,0.1714083333333333,0.1692,0.00595,0.82485
Q8s,0.564975,0.54935,0.03125,0.4194,0.3828499999999992,0.36785,0.0325,0.59965,0.29534166666666667,0.2814,0.0304,0.6882,0.25133499999999975,0.2378,0.0305,0.7317,0.2093625,0.1971,0.0272,0.7757
K8o,0.5634,0.5473,0.0322,0.4205,0.3683416666666659,0.3524,0.0342,0.6134,0.2708999999999999,0.25545,0.03325,0.7113,0.21129833333333323,0.19645,0.0324,0.77115,0.17641250000000003,0.16225,0.03105,0.8067
K5s,0.560675,0.5421,0.03715,0.42075,0.3708083333333327,0.35265,0.0384,0.60895,0.2812624999999999,0.2648,0.03545,0.69975,0.23188666666666635,0.2159,0.0353,0.7488,0.19430416666666678,0.17905,0.0337,0.78725
A3o,0.559275,0.539,0.04055,0.42045,0.36438333333333284,0.34405,0.04245,0.6135,0.264025,0.24575,0.03915,0.7151,0.20661499999999977,0.1876,0.0413,0.7711,0.1733458333333334,0.15735,0.035,0.80765
Q9o,0.556725,0.5425,0.02845,0.42905,0.3674249999999991,0.35325,0.03095,0.6158,0.29027083333333326,0.27565,0.03195,0.6924,0.22614666666666638,0.21305,0.02895,0.758,0.19027500000000006,0.17805,0.02705,0.7949
J9s,0.5567,0.5423,0.0288,0.4289,0.3936499999999989,0.3798,0.0304,0.5898,0.3118791666666666,0.29975,0.02695,0.6733,0.26326749999999954,0.25165,0.0265,0.72185,0.2260583333333333,0.214,0.0272,0.7588
JTo,0.553975,0.53905,0.02985,0.4311,0.3887916666666658,0.3752,0.02985,0.59495,0.305225,0.2923,0.02845,0.67925,0.25157833333333296,0.23925,0.0276,0.73315,0.2129083333333334,0.2005,0.02735,0.77215
K7o,0.5532,0.53625,0.0339,0.42985,0.3594499999999993,0.3415,0.03815,0.62035,0.26430416666666656,0.24825,0.0346,0.71715,0.20111833333333323,0.1851,0.03495,0.77995,0.16612500000000005,0.151,0.03315,0.81585
A2o,0.5522,0.5321,0.0402,0.4277,0.35273333333333273,0.33265,0.0421,0.62525,0.25840416666666655,0.24005,0.03925,0.7207,0.19948583333333314,0.18135,0.03975,0.7789,0.16439166666666669,0.14875,0.03415,0.8171
K4s,0.54865,0.5288,0.0397,0.4315,0.36349999999999943,0.34555,0.0379,0.61655,0.26973749999999985,0.25295,0.0362,0.71085,0.22589999999999974,0.2104,0.0339,0.7557,0.19032916666666677,0.17585,0.03195,0.7922
K6o,0.547525,0.52815,0.03875,0.4331,0.3486249999999994,0.32905,0.0416,0.62935,0.2493666666666666,0.23195,0.03715,0.7309,0.19057166666666656,0.17505,0.03405,0.7909,0.15977500000000006,0.1444,0.0336,0.822
Q7s,0.5444,0.5272,0.0344,0.4384,0.36117499999999925,0.3451,0.03445,0.62045,0.2771875,0.26265,0.0319,0.70545,0.22899999999999976,0.2151,0.03125,0.75365,0.19369166666666676,0.18025,0.0298,0.78995
T9s,0.5432,0.5273,0.0318,0.4409,0.38533333333333236,0.37175,0.02995,0.5983,0.30741249999999987,0.29505,0.02765,0.6773,0.2633691666666662,0.25105,0.02795,0.721,0.22431666666666653,0.2114,0.0288,0.7598
K3s,0.543125,0.5238,0.03865,0.43755,0.3550083333333328,0.3368,0.03845,0.62475,0.2663416666666666,0.24945,0.0363,0.71425,0.22188999999999978,0.2067,0.03335,0.75995,0.18522500000000003,0.1707,0.03195,0.79735
